Time(s),Voltage(V),Current(mA),,,,,,,,,,,,,
0.000249624252319336,-0.0211111999999998,-0.17339306930693,,,,,,,,,,,,,
0.108926057815552,0.0350253999999999,-0.638941584158417,,,,,,,,,,,,,
0.200924873352051,0.0537375999999999,-0.776705940594058,,,,,,,,,,,,,
0.300944805145264,0.0537375999999999,-0.776705940594058,,,,,,,,,,,,,
0.400079488754272,0.0729295999999999,-0.916845544554454,,,,,,,,,,,,,
0.502659797668457,0.0729295999999999,-0.940598019801979,,,,,,,,,,,,,
0.600885391235352,0.0916418,-1.08073762376238,,,,,,,,,,,,,
0.702303886413574,0.0820458,-1.05698514851485,,,,,,,,,,,,,
0.801321506500244,0.110354,-1.21850198019802,,,,,,,,,,,,,
0.902358531951904,0.1290662,-1.33488910891089,,,,,,,,,,,,,
1.0001654624939,0.1290662,-1.35864158415842,,,,,,,,,,,,,
1.10087490081787,0.1477784,-1.47502871287129,,,,,,,,,,,,,
1.20220565795898,0.1429804,-1.52015841584158,,,,,,,,,,,,,
1.30295610427856,0.1616926,-1.63654554455445,,,,,,,,,,,,,
1.40175604820251,0.1616926,-1.63654554455445,,,,,,,,,,,,,
1.50072026252747,0.1804048,-1.77668514851485,,,,,,,,,,,,,
1.60275316238403,0.1804048,-1.77668514851485,,,,,,,,,,,,,
1.70023584365845,0.199117,-1.9144495049505,,,,,,,,,,,,,
1.80245542526245,0.199117,-1.9144495049505,,,,,,,,,,,,,
1.90050721168518,0.208713,-2.10209405940594,,,,,,,,,,,,,
2.00163078308105,0.218309,-2.07834158415842,,,,,,,,,,,,,
2.10010933876038,0.2274252,-2.19472871287129,,,,,,,,,,,,,
2.20193934440613,0.2322232,-2.21848118811881,,,,,,,,,,,,,
2.30226731300354,0.2557334,-2.33249306930693,,,,,,,,,,,,,
2.40106678009033,0.2557334,-2.35624554455445,,,,,,,,,,,,,
2.50097942352295,0.2744456,-2.49638514851485,,,,,,,,,,,,,
2.60208702087402,0.2696476,-2.49638514851485,,,,,,,,,,,,,
2.702800989151,0.2883598,-2.63414950495049,,,,,,,,,,,,,
2.802241563797,0.307072,-2.79804158415842,,,,,,,,,,,,,
2.90286350250244,0.31187,-2.77428910891089,,,,,,,,,,,,,
3.00089120864868,0.3257842,-2.91442871287129,,,,,,,,,,,,,
3.10058164596558,0.3257842,-2.93818118811881,,,,,,,,,,,,,
3.20238304138184,0.3444964,-3.09969801980198,,,,,,,,,,,,,
3.30065608024597,0.3401782,-3.07594554455445,,,,,,,,,,,,,
3.40276646614075,0.3636884,-3.21608514851485,,,,,,,,,,,,,
3.50081706047058,0.3636884,-3.19233267326733,,,,,,,,,,,,,
3.60262608528137,0.3824006,-3.37760198019802,,,,,,,,,,,,,s
3.70281004905701,0.3867188,-3.33247227722772,,,,,,,,,,,,,
3.80138778686523,0.3963148,-3.51774158415842,,,,,,,,,,,,,
3.9025673866272,0.4011128,-3.49398910891089,,,,,,,,,,,,,
4.00116205215454,0.415027,-3.65788118811881,,,,,,,,,,,,,
4.10180234909058,0.415027,-3.65788118811881,,,,,,,,,,,,,
4.20202851295471,0.4385372,-3.79564554455446,,,,,,,,,,,,,
4.30117344856262,0.4337392,-3.79564554455446,,,,,,,,,,,,,
4.40134334564209,0.4572494,-3.91203267326733,,,,,,,,,,,,,
4.50157380104065,0.4481332,-3.95953762376238,,,,,,,,,,,,,
4.60239911079407,0.4711636,-4.05217227722772,,,,,,,,,,,,,
4.70010900497437,0.4711636,-4.05217227722772,,,,,,,,,,,,,
4.80143475532532,0.4903556,-4.18993663366337,,,,,,,,,,,,,
4.90248680114746,0.513386,-4.33007623762376,,,,,,,,,,,,,
5.00265955924988,0.5090678,-4.37758118811881,,,,,,,,,,,,,
5.10086393356323,0.522982,-4.51534554455446,,,,,,,,,,,,,
5.20103430747986,0.52778,-4.49159306930693,,,,,,,,,,,,,
5.30121326446533,0.5464922,-4.63173267326733,,,,,,,,,,,,,
5.40141534805298,0.5416942,-4.67923762376238,,,,,,,,,,,,,
5.50077271461487,0.5652044,-4.79562475247525,,,,,,,,,,,,,
5.60133409500122,0.5652044,-4.81700198019802,,,,,,,,,,,,,
5.70257186889648,0.5791186,-4.93338910891089,,,,,,,,,,,,,
5.80107092857361,0.5791186,-4.93338910891089,,,,,,,,,,,,,
5.90259051322937,0.5935126,-5.07352871287129,,,,,,,,,,,,,
6.00042819976807,0.5978308,-5.07352871287129,,,,,,,,,,,,,
6.10121774673462,0.621341,-5.18991584158416,,,,,,,,,,,,,
6.20265245437622,0.616543,-5.21366831683168,,,,,,,,,,,,,
6.30305194854736,0.635735,-5.35143267326733,,,,,,,,,,,,,
6.40072083473206,0.635735,-5.35143267326733,,,,,,,,,,,,,
6.5006685256958,0.6544472,-5.49157227722772,,,,,,,,,,,,,
6.6028368473053,0.6544472,-5.51532475247525,,,,,,,,,,,,,
6.70069193840027,0.6731594,-5.65308910891089,,,,,,,,,,,,,
6.80266284942627,0.6918716,-5.79322871287129,,,,,,,,,,,,,
6.90075182914734,0.6918716,-5.76947623762376,,,,,,,,,,,,,
7.0023136138916,0.7105838,-5.93336831683168,,,,,,,,,,,,,
7.10293364524841,0.7057858,-5.93336831683168,,,,,,,,,,,,,
7.20168209075928,0.729296,-6.07113267326733,,,,,,,,,,,,,
7.30248308181763,0.729296,-6.02600297029703,,,,,,,,,,,,,
7.40129208564758,0.7432102,-6.23502475247525,,,,,,,,,,,,,
7.50229668617249,0.7480082,-6.21127227722772,,,,,,,,,,,,,
7.60128951072693,0.7667204,-6.35141188118812,,,,,,,,,,,,,
7.70220303535461,0.7619224,-6.35141188118812,,,,,,,,,,,,,
7.8007230758667,0.7811144,-6.51292871287129,,,,,,,,,,,,,
7.90255475044251,0.7811144,-6.48917623762376,,,,,,,,,,,,,
8.00097346305847,0.7998266,-6.65306831683168,,,,,,,,,,,,,
8.10228204727173,0.7998266,-6.65306831683168,,,,,,,,,,,,,
8.20084929466248,0.8137408,-6.79083267326733,,,,,,,,,,,,,
8.3023247718811,0.8137408,-6.79083267326733,,,,,,,,,,,,,
8.4012610912323,0.832453,-6.9072198019802,,,,,,,,,,,,,
8.50241327285767,0.837251,-6.88346732673267,,,,,,,,,,,,,
8.60063481330872,0.8511652,-7.09248910891089,,,,,,,,,,,,,
8.7026379108429,0.8746754,-7.18512376237624,,,,,,,,,,,,,
8.80193758010864,0.8698774,-7.20887623762376,,,,,,,,,,,,,
8.90160608291626,0.8885896,-7.32526336633663,,,,,,,,,,,,,
9.00059938430786,0.8885896,-7.37276831683168,,,,,,,,,,,,,
9.10182881355286,0.9120998,-7.4867801980198,,,,,,,,,,,,,
9.20037937164307,0.9120998,-7.53428514851485,,,,,,,,,,,,,
9.30165791511536,0.9264938,-7.6269198019802,,,,,,,,,,,,,
9.40179371833801,0.9264938,-7.65067227722773,,,,,,,,,,,,,
9.50047183036804,0.945206,-7.79081188118812,,,,,,,,,,,,,
9.60143232345581,0.945206,-7.76705940594059,,,,,,,,,,,,,
9.70271611213684,0.9639182,-7.90482376237624,,,,,,,,,,,,,
9.80305695533752,0.9639182,-7.95232871287129,,,,,,,,,,,,,
9.90123128890991,0.9826304,-8.02121089108911,,,,,,,,,,,,,
10.0023274421692,0.9826304,-8.06871584158416,,,,,,,,,,,,,
